nombre,descripcion
Eléctrica,Especialidad en instalaciones y sistemas eléctricos
Mecánica,Especialidad en equipos y sistemas mecánicos
Piping,Especialidad en cañerías y sistemas de fluidos
Estructuras,Especialidad en estructuras metálicas y hormigón
Instrumentación y Control,Especialidad en instrumentación y automatización
Civil,Especialidad en obras civiles
Climatización,Especialidad en HVAC y ventilación
Sanitaria,Especialidad en instalaciones sanitarias
Telecomunicaciones,Especialidad en redes y comunicaciones
