nombre,descripción
Incumplimiento grave de normas,Infracciones graves y reiteradas al reglamento interno de la empresa
Conducta inapropiada,Comportamiento inadecuado hacia compañeros o superiores debidamente comprobado
Robo o apropiación indebida,Sustracción o uso indebido de bienes pertenecientes a la empresa o compañeros
Falsificación de documentos,Presentación o alteración dolosa de documentos oficiales
Abandono de funciones,Abandono reiterado del puesto de trabajo sin justificación
Desempeño insuficiente,Bajo rendimiento sostenido que no alcanza los estándares mínimos del cargo
Incumplimiento de seguridad,Infracciones graves y reiteradas a los protocolos de seguridad
